1,1,28,10,0,0,0,0
1,1,39,13,1,0,0,0
1,1,41,12,1,0,0,0
1,1,68,41,1,1,0,0
1,1,1,2,0,0,0,0
1,1,28,18,0,0,0,0
1,1,42,22,1,0,0,0
1,1,53,3,1,0,0,0
1,1,18,6,0,0,0,0
1,1,46,18,1,0,0,0
1,1,67,30,1,0,0,0
1,1,19,11,0,0,0,0
1,1,61,34,1,1,0,0
1,1,21,10,0,0,0,0
1,1,23,7,0,0,0,0
1,0,23,7,0,0,0,0
1,1,13,8,0,0,0,0
1,1,23,20,0,0,0,0
1,1,90,51,1,1,0,0
1,1,52,3,1,0,0,0
1,1,35,3,1,0,0,0
1,1,47,17,1,0,0,0
1,1,80,56,1,1,0,0
1,1,91,50,1,1,0,0
1,1,33,4,1,0,0,0
1,1,62,2,1,0,0,0
1,1,34,4,1,0,0,0
1,1,48,3,1,0,0,0
1,1,56,8,1,0,0,0
1,1,96,48,1,1,0,0
1,1,90,51,1,1,0,0
1,1,34,10,1,0,0,0
1,1,61,3,1,0,0,0
1,1,49,15,1,0,0,0
1,0,10,2,0,0,0,0
1,1,96,48,1,1,0,0
1,1,75,58,1,1,0,0
1,1,30,17,0,0,0,0
1,1,72,19,1,0,0,0
1,1,47,12,1,0,0,0
0,1,5,5,0,0,0,0
1,1,29,9,0,0,0,0
1,1,46,16,1,0,0,0
1,1,37,3,1,0,0,0
1,1,50,14,1,0,0,0
1,1,39,12,1,0,0,0
1,1,90,51,1,1,0,0
1,1,51,11,1,0,0,0
1,1,129,21,1,0,0,0
1,1,38,9,1,0,0,0
1,0,40,24,0,0,1,0
1,1,42,6,1,0,0,0
1,1,37,11,1,0,0,0
0,0,6,6,0,0,0,0
1,1,79,56,1,1,0,0
1,0,22,7,0,0,0,0
1,1,58,10,1,0,0,0
1,1,61,3,1,0,0,0
1,1,50,14,1,0,0,0
1,1,54,37,1,1,0,0
1,1,65,64,1,1,0,0
1,1,34,30,1,0,0,0
1,0,15,5,0,0,0,0
1,1,17,12,0,0,0,0
1,1,47,8,1,0,0,0
1,1,28,18,0,0,0,0
1,1,33,10,1,0,0,0
1,1,52,12,1,0,0,0
1,1,68,20,1,0,0,0
1,1,34,5,1,0,0,0
1,1,46,18,1,0,0,0
1,1,40,24,1,0,0,0
1,1,90,51,1,1,0,0
1,1,32,10,0,0,0,0
1,1,36,4,1,0,0,0
1,1,35,14,1,0,0,0
1,1,63,1,1,0,0,0
1,1,58,6,1,0,0,0
1,1,61,3,1,0,0,0
1,1,90,51,1,1,0,0
1,1,25,20,0,0,0,0
1,0,27,6,0,0,0,0
1,1,61,3,1,0,0,0
1,1,41,23,1,0,0,0
1,1,50,4,1,0,0,0
1,1,68,41,1,1,0,0
1,1,60,4,1,0,0,0
1,1,60,4,1,0,0,0
1,1,54,2,1,0,0,0
1,1,47,17,1,0,0,0
1,1,60,4,1,0,0,0
1,1,35,7,1,0,0,0
1,1,63,1,1,0,0,0
