1,1,19,7,0,0,0,0
1,1,28,4,0,0,0,0
1,1,12,6,0,0,0,0
1,1,24,5,0,0,0,0
1,1,17,2,0,0,0,0
1,1,20,1,0,0,0,0
1,1,25,13,0,0,0,0
1,1,29,6,0,0,0,0
1,1,12,6,0,0,0,0
1,1,13,6,0,0,0,0
1,1,11,6,0,0,0,0
1,1,31,5,0,0,0,0
1,1,9,6,0,0,0,0
1,1,20,18,0,0,0,0
1,1,17,14,0,0,0,0
1,1,26,17,0,0,0,0
1,1,19,16,0,0,0,0
1,1,18,6,0,0,0,0
1,1,19,5,0,0,0,0
1,1,19,7,0,0,0,0
1,1,33,4,0,0,0,0
1,1,37,18,0,0,0,0
1,1,22,1,0,0,0,0
1,1,26,4,0,0,0,0
1,1,20,18,0,0,0,0
1,1,15,6,0,0,0,0
1,1,15,6,0,0,0,0
1,1,6,1,0,0,0,0
1,1,9,3,0,0,0,0
1,1,40,13,0,0,0,0
1,1,21,7,0,0,0,0
1,1,29,16,0,0,0,0
1,1,15,7,0,0,0,0
1,1,50,39,0,0,0,0
1,1,38,13,0,0,0,0
1,1,19,16,0,0,0,0
1,1,25,9,0,0,0,0
1,1,19,7,0,0,0,0
1,1,6,1,0,0,0,0
1,1,9,6,0,0,0,0
1,1,28,17,0,0,0,0
1,1,5,4,0,0,0,0
1,1,22,15,0,0,0,0
1,1,22,7,0,0,0,0
1,1,20,7,0,0,0,0
1,1,29,16,0,0,0,0
1,1,29,1,0,0,0,0
1,1,26,4,0,0,0,0
1,1,6,1,0,0,0,0
1,1,15,6,0,0,0,0
1,1,14,1,0,0,0,0
1,1,6,2,0,0,0,0
1,1,21,13,0,0,0,0
1,1,16,3,0,0,0,0
1,1,9,4,0,0,0,0
1,1,8,6,0,0,0,0
1,1,16,14,0,0,0,0
1,1,22,3,0,0,0,0
1,1,22,13,0,0,0,0
1,1,21,7,0,0,0,0
1,1,10,1,0,0,0,0
1,1,16,4,0,0,0,0
1,1,12,2,0,0,0,0
1,1,15,13,0,0,0,0
1,1,32,4,0,0,0,0
1,1,20,4,0,0,0,0
1,1,17,14,0,0,0,0
